playerid,activity_date,purchases,gameends
23238920,2017-04-20,0,65
19601959,2017-04-20,0,17
30584193,2017-04-20,0,11
2286537,2017-04-20,0,16
33133879,2017-04-20,0,6
37209866,2017-04-20,0,11
20636308,2017-04-20,0,6
9871587,2017-04-20,0,8
21239723,2017-04-20,0,7
30104148,2017-04-20,0,8
1032460,2017-04-20,0,10
30341836,2017-04-20,0,5
1467645,2017-04-20,0,16
24042955,2017-04-20,0,38
39119352,2017-04-20,0,34
7008979,2017-04-20,0,8
9037462,2017-04-20,0,9
12611625,2017-04-20,0,23
16792679,2017-04-20,0,11
9830511,2017-04-20,0,18
31081590,2017-04-20,0,3
17772207,2017-04-20,0,75
23111923,2017-04-20,0,4
36190975,2017-04-20,0,15
11818219,2017-04-20,0,3
41433179,2017-04-20,0,17
5056697,2017-04-20,0,6
33154977,2017-04-20,0,4
14328826,2017-04-20,0,9
7407843,2017-04-20,0,10
44118564,2017-04-20,0,7
871105,2017-04-20,0,13
47204566,2017-04-20,0,18
8259472,2017-04-20,0,6
9870798,2017-04-20,0,10
512771,2017-04-20,0,5
21165562,2017-04-20,0,14
47179816,2017-04-20,0,6
8520087,2017-04-20,0,17
47225223,2017-04-20,0,7
30073416,2017-04-20,0,14
30069593,2017-04-20,0,27
43182633,2017-04-20,0,27
30080903,2017-04-20,0,4
30040318,2017-04-20,0,17
13951995,2017-04-20,0,3
11258345,2017-04-20,0,22
37301266,2017-04-20,0,8
16142627,2017-04-20,0,19
6059807,2017-04-20,0,4
15930506,2017-04-20,0,25
14151788,2017-04-20,0,16
19167637,2017-04-20,0,17
22304667,2017-04-20,0,6
28028901,2017-04-20,0,11
8941819,2017-04-20,0,6
1231532,2017-04-20,0,11
1182318,2017-04-20,2,8
31292917,2017-04-20,0,7
16376427,2017-04-20,0,15
12277586,2017-04-20,0,20
25125141,2017-04-20,0,11
17318082,2017-04-20,0,14
5625055,2017-04-20,0,34
22172692,2017-04-20,0,12
9269899,2017-04-20,0,11
7289224,2017-04-20,0,15
19253498,2017-04-20,0,11
21053840,2017-04-20,0,9
28039092,2017-04-20,0,11
31470048,2017-04-20,0,11
14187296,2017-04-20,0,4
18467032,2017-04-20,0,22
19692009,2017-04-20,0,11
10513338,2017-04-20,0,18
40070163,2017-04-20,0,10
36126671,2017-04-20,0,16
36086003,2017-04-20,0,9
599976,2017-04-20,0,4
27281226,2017-04-20,0,19
10114639,2017-04-20,0,6
21134167,2017-04-20,0,9
20322157,2017-04-20,0,20
37035637,2017-04-20,0,7
25230818,2017-04-20,0,8
37232572,2017-04-20,0,48
22253434,2017-04-20,0,11
241168,2017-04-20,0,12
12059895,2017-04-20,1,8
6636704,2017-04-20,0,9
47096967,2017-04-20,0,14
1963143,2017-04-20,0,9
18148360,2017-04-20,0,8
15536810,2017-04-20,0,16
37105705,2017-04-20,0,59
11181151,2017-04-20,0,21
11574287,2017-04-20,0,9
9381441,2017-04-20,0,2
25117146,2017-04-20,0,45
883888,2017-04-20,0,7
25923216,2017-04-20,0,8
47025220,2017-04-20,0,9
11066100,2017-04-20,0,41
27163994,2017-04-20,0,6
14751466,2017-04-20,0,7
9080059,2017-04-20,0,5
15503342,2017-04-20,0,10
14103007,2017-04-20,0,9
7187563,2017-04-20,0,10
36077572,2017-04-20,0,10
21175790,2017-04-20,0,16
12179187,2017-04-20,0,17
31442073,2017-04-20,0,10
40238574,2017-04-20,0,5
18378056,2017-04-20,0,14
18204045,2017-04-20,0,10
18368170,2017-04-20,0,14
23353234,2017-04-20,0,4
31028318,2017-04-20,1,9
25186266,2017-04-20,0,9
35035838,2017-04-20,0,13
12874269,2017-04-20,0,7
9134876,2017-04-20,0,26
18116699,2017-04-20,0,14
47197799,2017-04-20,0,12
10243549,2017-04-20,0,6
23198100,2017-04-20,0,6
30170256,2017-04-20,0,9
24021563,2017-04-20,0,15
25127831,2017-04-20,0,11
8483233,2017-04-20,0,16
19025188,2017-04-20,0,6
16295985,2017-04-20,0,8
27255681,2017-04-20,0,9
26092874,2017-04-20,0,12
26403205,2017-04-20,0,7
15041117,2017-04-20,0,4
41283714,2017-04-20,0,9
33056768,2017-04-20,0,8
20026448,2017-04-20,0,10
41012565,2017-04-20,0,8
37419385,2017-04-20,0,8
14218818,2017-04-20,0,31
33301698,2017-04-20,0,12
16564910,2017-04-20,0,8
6065790,2017-04-20,0,13
41224499,2017-04-20,0,13
30162596,2017-04-20,0,12
28360218,2017-04-20,0,10
36006966,2017-04-20,0,16
27359595,2017-04-20,0,14
2099759,2017-04-20,0,17
19304558,2017-04-20,0,29
11450645,2017-04-20,0,16
7165782,2017-04-20,0,11
36157543,2017-04-20,0,20
7507043,2017-04-20,0,7
7106670,2017-04-20,0,7
6683807,2017-04-20,0,25
15137033,2017-04-20,0,18
14095964,2017-04-20,0,6
10777026,2017-04-20,0,20
30571239,2017-04-20,0,21
22890333,2017-04-20,0,6
39515235,2017-04-20,3,18
43218522,2017-04-20,0,17
7201773,2017-04-20,0,6
39093978,2017-04-20,0,31
13163075,2017-04-20,0,5
33292587,2017-04-20,0,7
4668528,2017-04-20,0,10
47083080,2017-04-20,0,20
41087517,2017-04-20,0,9
31247528,2017-04-20,0,42
27123733,2017-04-20,0,7
15694787,2017-04-20,0,9
22579612,2017-04-20,0,4
35481814,2017-04-20,0,8
24210305,2017-04-20,0,12
5245804,2017-04-20,0,10
20024021,2017-04-20,0,25
47170793,2017-04-20,0,8
35348400,2017-04-20,0,14
31583688,2017-04-20,0,15
36293958,2017-04-20,0,7
30073391,2017-04-20,0,4
43041294,2017-04-20,0,11
27096614,2017-04-20,0,10
47014873,2017-04-20,0,6
8456497,2017-04-20,0,11
1395128,2017-04-20,0,6
11620924,2017-04-20,0,8
23038342,2017-04-20,0,13
18071540,2017-04-20,0,12
17123252,2017-04-20,0,11
47026324,2017-04-20,0,17
30183522,2017-04-20,0,6
18442916,2017-04-20,0,8
47001030,2017-04-20,0,7
13046335,2017-04-20,0,8
8108416,2017-04-20,0,8
18000336,2017-04-20,0,6
33107951,2017-04-20,0,19
6488336,2017-04-20,0,5
14641863,2017-04-20,0,23
17751934,2017-04-20,0,12
11449128,2017-04-20,0,6
18944400,2017-04-20,0,36
12428566,2017-04-20,0,15
41328390,2017-04-20,0,11
215122,2017-04-20,0,13
23094888,2017-04-20,0,9
30036165,2017-04-20,0,9
18439493,2017-04-20,0,13
16021621,2017-04-20,0,16
20438879,2017-04-20,0,11
47152392,2017-04-20,0,13
28225395,2017-04-20,0,11
19192955,2017-04-20,0,7
24607487,2017-04-20,0,7
22452415,2017-04-20,0,17
47047042,2017-04-20,0,7
10964397,2017-04-20,0,13
5940430,2017-04-20,0,6
2492876,2017-04-20,0,8
40708837,2017-04-20,0,9
40094689,2017-04-20,0,12
36018680,2017-04-20,0,7
18020610,2017-04-20,0,5
828323,2017-04-20,0,10
26310110,2017-04-20,0,13
47095327,2017-04-20,0,18
44002776,2017-04-20,0,7
13762704,2017-04-20,0,9
37272743,2017-04-20,0,8
31091482,2017-04-20,0,9
47031835,2017-04-20,0,9
26286004,2017-04-20,0,5
9917514,2017-04-20,0,18
5351157,2017-04-20,0,6
37172897,2017-04-20,0,11
43100106,2017-04-20,0,4
43176640,2017-04-20,0,25
6799301,2017-04-20,0,9
37084854,2017-04-20,0,24
4169070,2017-04-20,0,6
9274867,2017-04-20,0,26
43493191,2017-04-20,0,15
22117145,2017-04-20,0,9
28111195,2017-04-20,0,8
19287065,2017-04-20,0,7
20228310,2017-04-20,0,6
39118745,2017-04-20,0,11
26368044,2017-04-20,0,9
18619011,2017-04-20,0,19
19404336,2017-04-20,0,13
19830693,2017-04-20,0,8
9381602,2017-04-20,0,20
18277691,2017-04-20,2,12
14318850,2017-04-20,0,5
22027152,2017-04-20,0,9
8630938,2017-04-20,0,17
30136117,2017-04-20,0,7
27289630,2017-04-20,0,6
22483208,2017-04-20,0,12
2639368,2017-04-20,0,8
5556219,2017-04-20,0,6
43783151,2017-04-20,0,5
27076783,2017-04-20,0,5
31034220,2017-04-20,0,5
13586170,2017-04-20,0,16
25154497,2017-04-20,0,6
28348229,2017-04-20,0,14
47047758,2017-04-20,0,4
7110753,2017-04-20,0,12
6313325,2017-04-20,0,35
20602627,2017-04-20,0,19
20364090,2017-04-20,0,25
16875604,2017-04-20,0,12
191630,2017-04-20,0,8
23122703,2017-04-20,0,16
16023917,2017-04-20,0,7
15148446,2017-04-20,0,9
27022242,2017-04-20,0,6
7457445,2017-04-20,0,16
22180943,2017-04-20,0,5
26427510,2017-04-20,0,7
11711419,2017-04-20,0,32
4948188,2017-04-20,0,7
43415636,2017-04-20,0,46
39182960,2017-04-20,0,5
4826057,2017-04-20,0,9
16134785,2017-04-20,0,9
24558759,2017-04-20,0,9
39241703,2017-04-20,0,11
9406246,2017-04-20,0,11
10830287,2017-04-20,0,10
33307360,2017-04-20,0,40
22170958,2017-04-20,0,40
17590427,2017-04-20,0,40
16514196,2017-04-20,0,10
10429809,2017-04-20,0,7
16116535,2017-04-20,0,3
47059062,2017-04-20,0,12
37246029,2017-04-20,1,6
1832331,2017-04-20,0,11
21795087,2017-04-20,0,10
7278297,2017-04-20,0,15
36316667,2017-04-20,0,4
39010436,2017-04-20,0,5
30501485,2017-04-20,0,15
17157634,2017-04-20,0,9
21052447,2017-04-20,0,5
31226820,2017-04-20,0,10
24115625,2017-04-20,0,2
28161362,2017-04-20,0,10
11872851,2017-04-20,0,7
44150096,2017-04-20,0,14
5905930,2017-04-20,0,19
31162296,2017-04-20,0,23
25050254,2017-04-20,0,7
18265154,2017-04-20,0,22
491758,2017-04-20,0,10
30037618,2017-04-20,0,6
26123112,2017-04-20,0,15
28040988,2017-04-20,0,5
36203353,2017-04-20,0,17
909267,2017-04-20,0,34
16035012,2017-04-20,0,28
43448666,2017-04-20,0,10
10224374,2017-04-20,0,14
6086786,2017-04-20,0,27
19087866,2017-04-20,0,9
37140453,2017-04-20,0,10
2182605,2017-04-20,0,21
39080548,2017-04-20,0,39
47073927,2017-04-20,0,7
8030749,2017-04-20,0,3
47012525,2017-04-20,0,4
11658276,2017-04-20,0,20
35178507,2017-04-20,0,8
25303685,2017-04-20,0,5
10617175,2017-04-20,0,69
6807173,2017-04-20,0,13
10214837,2017-04-20,0,11
7375639,2017-04-20,0,11
14347959,2017-04-20,0,21
16700892,2017-04-20,0,8
18800810,2017-04-20,0,7
43364433,2017-04-20,0,4
31578963,2017-04-20,0,12
25404110,2017-04-20,0,15
10463902,2017-04-20,0,4
27035487,2017-04-20,11,17
44144624,2017-04-20,0,8
1823694,2017-04-20,0,19
43023766,2017-04-20,0,5
47137671,2017-04-20,0,11
23029069,2017-04-20,0,5
19047385,2017-04-20,0,8
20538074,2017-04-20,0,4
19135514,2017-04-20,0,15
10033963,2017-04-20,1,9
41053062,2017-04-20,0,10
17018751,2017-04-20,0,12
35066550,2017-04-20,0,4
20761465,2017-04-20,0,9
5008213,2017-04-20,0,5
27115378,2017-04-20,0,7
35093977,2017-04-20,0,5
26052561,2017-04-20,0,7
37227649,2017-04-20,0,10
968429,2017-04-20,0,20
36085360,2017-04-20,0,6
47014516,2017-04-20,0,5
10593108,2017-04-20,0,11
36319750,2017-04-20,0,7
47388447,2017-04-20,0,8
21111174,2017-04-20,0,19
8143906,2017-04-20,0,10
33360961,2017-04-20,0,5
16337488,2017-04-20,0,10
11047311,2017-04-20,0,13
19374650,2017-04-20,0,10
43218097,2017-04-20,0,11
47055228,2017-04-20,0,1
28368852,2017-04-20,0,7
15681261,2017-04-20,0,5
28405267,2017-04-20,0,4
23155266,2017-04-20,0,17
33459122,2017-04-20,0,8
10940085,2017-04-20,0,38
33608697,2017-04-20,0,17
33328922,2017-04-20,0,17
39354502,2017-04-20,0,11
19002390,2017-04-20,0,6
24046044,2017-04-20,0,11
30025843,2017-04-20,0,18
6556438,2017-04-20,0,15
872405,2017-04-20,0,3
24218265,2017-04-20,0,28
9062933,2017-04-20,0,21
13917468,2017-04-20,0,10
16225789,2017-04-20,0,19
36094159,2017-04-20,0,7
4944918,2017-04-20,0,11
6580368,2017-04-20,0,53
15857411,2017-04-20,0,6
20037523,2017-04-20,0,9
7545856,2017-04-20,0,9
36124729,2017-04-20,0,30
5851123,2017-04-20,0,11
15047423,2017-04-20,0,8
17132658,2017-04-20,0,13
25238969,2017-04-20,0,14
10037712,2017-04-20,0,9
18168552,2017-04-20,0,21
47086703,2017-04-20,0,15
36209590,2017-04-20,0,6
13585815,2017-04-20,0,9
26213842,2017-04-20,0,25
35262556,2017-04-20,0,9
39178288,2017-04-20,0,26
43226457,2017-04-20,0,7
19049192,2017-04-20,0,22
11063992,2017-04-20,0,19
25167988,2017-04-20,0,41
27294100,2017-04-20,0,17
1071310,2017-04-20,0,16
609602,2017-04-20,0,5
12424254,2017-04-20,0,9
17634442,2017-04-20,0,10
36026506,2017-04-20,0,19
24099950,2017-04-20,0,14
41136408,2017-04-20,0,10
35342108,2017-04-20,0,25
45023312,2017-04-20,0,16
12497704,2017-04-20,0,6
10071675,2017-04-20,0,15
44013105,2017-04-20,0,10
43103667,2017-04-20,0,6
22207262,2017-04-20,0,3
33165444,2017-04-20,0,8
19036404,2017-04-20,0,8
47246893,2017-04-20,0,8
17643642,2017-04-20,0,17
22771038,2017-04-20,0,11
14203217,2017-04-20,0,14
16543349,2017-04-20,0,9
13565002,2017-04-20,0,7
15320518,2017-04-20,0,7
17311577,2017-04-20,0,27
26273987,2017-04-20,0,12
25293944,2017-04-20,0,31
31146317,2017-04-20,0,7
20217960,2017-04-20,0,31
16039187,2017-04-20,0,17
25104889,2017-04-20,0,9
5765668,2017-04-20,0,11
18024491,2017-04-20,0,7
30096828,2017-04-20,0,7
27268494,2017-04-20,0,7
31015740,2017-04-20,0,7
37099701,2017-04-20,0,14
10138167,2017-04-20,0,21
205988,2017-04-20,0,13
47066637,2017-04-20,0,7
24010841,2017-04-20,0,2
21380221,2017-04-20,0,7
11536648,2017-04-20,0,32
12092900,2017-04-20,0,12
1093958,2017-04-20,0,9
17486302,2017-04-20,0,14
8581654,2017-04-20,0,15
19688670,2017-04-20,0,28
59028,2017-04-20,0,28
39087713,2017-04-20,0,24
41151294,2017-04-20,0,9
10174698,2017-04-20,0,9
36073719,2017-04-20,0,4
10307902,2017-04-20,0,12
22401600,2017-04-20,0,18
8650620,2017-04-20,0,4
43318113,2017-04-20,0,11
25244239,2017-04-20,0,8
11117264,2017-04-20,0,18
43069004,2017-04-20,0,14
37136111,2017-04-20,0,7
14210506,2017-04-20,0,20
7158237,2017-04-20,0,19
20948657,2017-04-20,0,14
15407528,2017-04-20,0,10
4209700,2017-04-20,0,9
8463543,2017-04-20,0,17
7220749,2017-04-20,0,8
10208819,2017-04-20,0,9
13151758,2017-04-20,0,14
47146030,2017-04-20,0,6
33108722,2017-04-20,0,10
14096665,2017-04-20,0,22
13083705,2017-04-20,0,9
19517199,2017-04-20,0,21
1189521,2017-04-20,0,7
22313462,2017-04-20,0,7
47105316,2017-04-20,0,8
18566329,2017-04-20,0,8
5738862,2017-04-20,0,11
18130528,2017-04-20,0,14
41032369,2017-04-20,0,3
16233580,2017-04-20,0,14
47136768,2017-04-20,0,15
11337409,2017-04-20,0,8
20529773,2017-04-20,0,4
47065543,2017-04-20,0,10
619181,2017-04-20,0,25
24133981,2017-04-20,0,8
30096268,2017-04-20,0,8
40217654,2017-04-20,0,12
22856444,2017-04-20,0,10
17112815,2017-04-20,0,8
8135697,2017-04-20,0,12
16167239,2017-04-20,0,16
21472337,2017-04-20,0,8
12826097,2017-04-20,0,9
40469052,2017-04-20,0,12
41173078,2017-04-20,0,10
22133341,2017-04-20,0,9
20992042,2017-04-20,0,9
47106841,2017-04-20,0,7
19110235,2017-04-20,0,11
8238755,2017-04-20,0,7
22397630,2017-04-20,0,20
10187190,2017-04-20,0,6
7950524,2017-04-20,0,5
16505281,2017-04-20,0,12
11005421,2017-04-20,0,8
30360618,2017-04-20,0,12
40740062,2017-04-20,0,8
47251178,2017-04-20,0,9
8179000,2017-04-20,0,12
19350446,2017-04-20,0,17
19141209,2017-04-20,0,13
14968920,2017-04-20,0,12
18041342,2017-04-20,0,15
19004454,2017-04-20,0,7
47016254,2017-04-20,0,9
9124503,2017-04-20,0,9
4359179,2017-04-20,0,43
13156134,2017-04-20,0,7
37085347,2017-04-20,0,34
26285037,2017-04-20,0,18
16236168,2017-04-20,0,9
15636656,2017-04-20,0,8
40035994,2017-04-20,0,19
26654159,2017-04-20,0,5
8148843,2017-04-20,0,9
11064930,2017-04-20,0,17
30576316,2017-04-20,0,9
40094349,2017-04-20,0,6
33001503,2017-04-20,0,22
35052494,2017-04-20,0,18
2433461,2017-04-20,0,11
2526783,2017-04-20,0,7
30156840,2017-04-20,0,8
7169255,2017-04-20,0,10
13453566,2017-04-20,0,5
16142770,2017-04-20,0,58
7450308,2017-04-20,0,37
9802308,2017-04-20,0,14
2290933,2017-04-20,0,7
14081229,2017-04-20,0,8
26272006,2017-04-20,0,6
33633607,2017-04-20,0,12
16330459,2017-04-20,0,11
14212561,2017-04-20,0,5
35072768,2017-04-20,0,8
18144105,2017-04-20,0,4
47092750,2017-04-20,0,11
25174965,2017-04-20,0,12
6375100,2017-04-20,0,64
13134790,2017-04-20,1,8
40133081,2017-04-20,0,13
47066382,2017-04-20,0,11
19316218,2017-04-20,0,51
25458345,2017-04-20,0,5
43057324,2017-04-20,0,8
30115274,2017-04-20,0,10
37280241,2017-04-20,0,4
14794539,2017-04-20,0,22
25629750,2017-04-20,0,5
36135112,2017-04-20,0,7
40001779,2017-04-20,0,5
25279969,2017-04-20,0,24
13858207,2017-04-20,0,8
1158179,2017-04-20,0,12
27479983,2017-04-20,1,15
26250594,2017-04-20,0,10
14064373,2017-04-20,0,17
14216509,2017-04-20,0,8
35055613,2017-04-20,0,18
23006210,2017-04-20,0,6
28095881,2017-04-20,0,10
24290428,2017-04-20,0,10
19217093,2017-04-20,0,11
39036903,2017-04-20,0,18
14443749,2017-04-20,0,5
39003722,2017-04-20,0,3
18302396,2017-04-20,0,6
47150004,2017-04-20,0,11
15279388,2017-04-20,0,17
14058179,2017-04-20,0,8
43003387,2017-04-20,0,51
36493533,2017-04-20,0,5
22121851,2017-04-20,0,8
30018937,2017-04-20,0,15
30254892,2017-04-20,0,21
47101867,2017-04-20,0,10
24024112,2017-04-20,0,7
17122102,2017-04-20,0,12
30104156,2017-04-20,0,5
18316749,2017-04-20,0,16
9163770,2017-04-20,0,10
21243706,2017-04-20,0,11
19848870,2017-04-20,0,7
47169503,2017-04-20,0,9
28278846,2017-04-20,0,16
23001027,2017-04-20,0,11
5419512,2017-04-20,0,15
9203882,2017-04-20,0,11
36137117,2017-04-20,0,11
39100194,2017-04-20,0,11
4004120,2017-04-20,0,13
40265240,2017-04-20,0,15
8965540,2017-04-20,0,14
10016156,2017-04-20,0,7
40022674,2017-04-20,0,9
14888474,2017-04-20,0,9
14134468,2017-04-20,0,13
24079410,2017-04-20,0,16
43365015,2017-04-20,0,11
47358135,2017-04-20,0,11
733287,2017-04-20,0,4
33072301,2017-04-20,0,12
1112451,2017-04-20,0,9
15540718,2017-04-20,0,6
19599905,2017-04-20,0,8
25199042,2017-04-20,0,6
6476441,2017-04-20,0,6
10337565,2017-04-20,0,7
36057632,2017-04-20,0,10
1528494,2017-04-20,0,8
9169405,2017-04-20,0,58
47005417,2017-04-20,0,2
33006150,2017-04-20,0,7
15697956,2017-04-20,0,13
27322546,2017-04-20,0,23
41075488,2017-04-20,0,9
26066500,2017-04-20,0,17
1682208,2017-04-20,0,11
1082835,2017-04-20,0,5
47189134,2017-04-20,0,10
23042676,2017-04-20,0,3
40284001,2017-04-20,0,13
17095527,2017-04-20,0,20
20643956,2017-04-20,0,8
2153795,2017-04-20,0,25
47058230,2017-04-20,0,8
19563670,2017-04-20,0,17
5162513,2017-04-20,0,19
16846543,2017-04-20,0,6
7110531,2017-04-20,0,11
47071311,2017-04-20,0,12
14021434,2017-04-20,0,3
18095960,2017-04-20,0,6
10283099,2017-04-20,0,14
18090730,2017-04-20,0,81
5339257,2017-04-20,0,18
9130904,2017-04-20,0,12
5342979,2017-04-20,0,19
11080985,2017-04-20,0,6
35152727,2017-04-20,0,4
47188044,2017-04-20,0,9
15444809,2017-04-20,0,10
47035729,2017-04-20,0,10
22065895,2017-04-20,0,5
41013265,2017-04-20,0,19
47136836,2017-04-20,0,27
724275,2017-04-20,0,8
28157878,2017-04-20,0,17
26005730,2017-04-20,0,12
21075689,2017-04-20,0,17
47001157,2017-04-20,0,17
6842192,2017-04-20,0,14
13250953,2017-04-20,0,21
16325673,2017-04-20,0,18
15392361,2017-04-20,0,16
5113829,2017-04-20,0,10
40070340,2017-04-20,0,4
2163295,2017-04-20,0,8
43217495,2017-04-20,0,10
20469149,2017-04-20,0,16
27875662,2017-04-20,0,11
17380293,2017-04-20,0,3
25395327,2017-04-20,0,8
1399448,2017-04-20,0,22
4847401,2017-04-20,0,18
24330672,2017-04-20,0,13
5520479,2017-04-20,0,19
7177824,2017-04-20,0,11
17359248,2017-04-20,0,17
31379755,2017-04-20,0,6
43095804,2017-04-20,0,9
18235299,2017-04-20,0,10
47103773,2017-04-20,0,42
21468251,2017-04-20,0,7
6338208,2017-04-20,0,8
17141656,2017-04-20,0,6
39026494,2017-04-20,0,17
37000968,2017-04-20,0,13
13767726,2017-04-20,0,8
4059454,2017-04-20,0,9
40114703,2017-04-20,0,41
16077837,2017-04-20,0,5
10082826,2017-04-20,0,10
19755585,2017-04-20,0,11
41196715,2017-04-20,0,15
15796949,2017-04-20,0,5
30662410,2017-04-20,0,13
33164840,2017-04-20,0,4
43011637,2017-04-20,0,8
37036995,2017-04-20,0,29
15128806,2017-04-20,0,8
5178013,2017-04-20,0,15
9042227,2017-04-20,0,83
6181284,2017-04-20,0,6
